,GP,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
1914,5,10,1,2,1,0,0,0,0,0,4,0,0,0.2,0.2,0.3,0.5,0.0
1915,42,92,16,29,10,1,4,0,9,0,23,0,0,0.315,0.376,0.576,0.952,0.0
1916,67,136,18,37,5,3,3,0,10,0,23,0,0,0.272,0.322,0.419,0.741,0.0
1917,52,123,14,40,6,3,2,0,12,0,18,0,0,0.325,0.385,0.472,0.857,0.0
1918,95,317,50,95,26,11,11,0,57,2,58,6,0,0.3,0.41,0.555,0.965,0.0
1919,130,432,103,139,34,12,29,0,101,6,58,7,0,0.322,0.456,0.657,1.114,0.0
1920,142,458,158,172,36,9,54,137,148,3,80,14,14,0.376,0.53,0.847,1.378,11.6
1921,152,540,177,204,44,16,59,171,144,4,81,17,13,0.378,0.512,0.846,1.358,12.6
1922,110,406,94,128,24,8,35,99,84,1,80,2,5,0.315,0.434,0.672,1.106,6.0
1923,152,522,151,205,45,13,41,131,170,4,93,17,21,0.393,0.545,0.764,1.309,13.7
1924,153,529,143,200,39,7,46,121,142,4,81,9,13,0.378,0.513,0.739,1.252,11.4
1925,98,359,61,104,12,2,25,66,59,2,68,2,4,0.29,0.393,0.543,0.936,3.2
1926,152,495,139,184,30,5,47,146,144,3,76,11,9,0.372,0.516,0.737,1.253,11.1
1927,151,540,158,192,29,8,60,164,138,0,89,7,6,0.356,0.487,0.772,1.259,12.1
1928,154,536,163,173,29,8,54,142,135,3,87,4,5,0.323,0.461,0.709,1.17,9.8
1929,135,499,121,172,26,6,46,154,72,3,60,5,3,0.345,0.43,0.697,1.128,7.6
1930,145,518,150,186,28,9,49,153,136,1,61,10,10,0.359,0.493,0.732,1.225,10.0
1931,145,534,149,199,31,3,46,163,128,1,51,5,4,0.373,0.495,0.7,1.195,10.0
1932,133,457,120,156,13,5,41,137,130,2,62,2,2,0.341,0.489,0.661,1.15,8.1
1933,137,459,97,138,21,3,34,103,114,2,90,4,5,0.301,0.442,0.582,1.023,6.2
1934,125,365,78,105,17,4,22,84,103,2,63,1,3,0.288,0.447,0.537,0.984,4.8
1935,28,72,13,13,0,0,6,12,20,0,24,0,0,0.181,0.359,0.431,0.789,0.2
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
